#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,id
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:22:20Z,605,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:22:30Z,612.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:22:40Z,622.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:22:50Z,632.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:23:00Z,642.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:23:10Z,652.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:23:20Z,662.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:23:30Z,672.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:23:40Z,682.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:23:50Z,692.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:24:00Z,702.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
,,0,2024-10-29T18:22:12.987295769Z,2024-10-29T19:22:12.987295769Z,2024-10-29T18:24:10Z,712.5,counter,spacex.starlink.user_terminal.history,ut01000000-00000000-0030f494
